Orig,Name,TotalSeats,Country Name,Airport1Latitude,Airport1Longitude
RYG,Moss Airport,778653.099,Norway,59.37879944,10.78549957
DJE,Zarsis Airport,777955.486,Tunisia,33.87419891,10.7833004
ZIA,Zhukovsky,771529.647,Russian Federation,55.55329895,38.15169907
TGD,Golubovci,765472.113,Montenegro,42.35829926,19.25189972
SAP,Ramon V. Morales Intl,763283.948,Honduras,15.4513998,-87.92420197
DWC,Al Maktoum Intl Emirates,760640.818,United Arab Emirates,24.91810036,55.1753006
PEW,Bacha Khan Intl,753725.35,Pakistan,33.99440002,71.51670075
HRE,RG Mugabe International Airport,751216.543,Zimbabwe,-17.92280006,31.10140038
TNG,Boukhalef,749669.662,Morocco,35.72829819,-5.917500019
SJC,San Jose Municipal,745042.018,United States,37.36109924,-121.9255981
SJJ,Sarajevo International Airport,743902.439,Bosnia and Herzegovina,43.81890106,18.33810043
ZTH,Dionisios Solomos,738507.854,Greece,37.75579834,20.88829994
ULN,Chinggis Khaan Intl,726457.781,Mongolia,47.84999847,106.7667007
HOU,William P Hobby,726011.482,United States,29.64500046,-95.2786026
MIR,Habib Bourguiba International Airport,724035.634,Tunisia,35.75690079,10.75279999
CLO,Alfonso B Aragon International,722510.418,Colombia,3.546099901,-76.38500214
SJU,Luis Munoz Marin Int,719109.013,United States,18.44140053,-66.00219727
ODS,Odessa International,712076.554,Ukraine,46.42979813,30.6772995
VAR,Varna,711010.636,Bulgaria,43.23189926,27.82500076
DSA,Robin Hood,710213.364,United Kingdom,53.49000168,-1
BJV,Milas Airport,706538.98,Turkey,37.25,27.64999962
FKB,Baden Airpark,701790.012,Germany,48.77944565,8.080555916
NRN,Weeze Airport,701010.072,Germany,51.60309982,6.144199848
WDH,Windhoek Intl,694770.552,Namibia,-22.48329926,17.4666996
ADL,Adelaide International,693960.281,Australia,-34.94829941,138.5346985
SYX,Phoenix International,689999.919,China,18.30349922,109.4123993
WUX,Sunan Shuofang,683201.442,China,31.58329964,120.3167038
JJN,Jinjiang,680276.667,China,24.89999962,118.5832977
ABZ,Dyce,679782.705,United Kingdom,57.20420075,-2.19810009
MUX,Multan International,670206.775,Pakistan,30.20280075,71.41809845
MGA,Augusto C Sandino Intl,659482.6,Nicaragua,12.14109993,-86.16860199
TSR,Timisoara,657944.385,Romania,45.81669998,21.33329964
SID,Amilcar Cabral Intl,657467.755,Cape Verde,16.74500084,-22.95170021
YTZ,Billy Bishop Toronto City Airport,657155.779,Canada,43.65000153,-79.38330078
CTG,Rafael Nunez International,655769.219,Colombia,10.4467001,-75.51059723
ASB,Ashgabat International,652432.809,Turkmenistan,37.9817009,58.3608017
KUN,Kaunas International,648216.8,Lithuania,54.90000153,23.91670036
LFW,G. Eyadema International,642518.905,Togo,6.162499905,1.254199982
MHD,Shahid Hashemi Nejad,638120.91,Iran,36.23669815,59.64170075
ANU,V C Bird Intl,630334.509,Antigua and Barbuda,17.13750076,-61.79000092
BJX,Del Bajio International,626768.45,Mexico,20.99349976,-101.4807968
YNT,Penglai International,621157.215,China,37.54999924,121.3332977
TIV,Tivat,615693.302,Montenegro,42.40359879,18.72559929
RBA,Sale,613717.454,Morocco,34.04999924,-6.756899834
MDW,Chicago Midway International,613552.8,United States,41.78499985,-87.75189972
PDX,Portland Intl,607295.948,United States,45.58919907,-122.5950012
WLG,Wellington Intl,603725.556,New Zealand,-41.32389832,174.8014069
URC,Diwopu International,595458.192,China,43.9068985,87.47409821
OOL,Coolangatta,590895.543,Australia,-28.16670036,153.5083008
BKO,Senou International,584127.397,Mali,12.63220024,-8.02670002
GRZ,Graz,580985.972,Austria,46.99330139,15.43999958
LUN,Lusaka Intl,579621.077,Zambia,-15.32919979,28.45280075
ATQ,Sri Guru Ram Dass Jee,579447.757,India,31.70689964,74.79720306
ABV,Nnamdi Azikiwe International Airport,577718.89,Nigeria,9.005599976,7.26609993
TIP,Tripoli Intl,576752.631,Libya,32.66139984,13.15999985
DLA,Douala International,573312.229,Cameroon,4.013299942,9.709199905
RMU,Corvera International,565573.491,Spain,37.79330063,-1.140300036
YWG,J.A. Richardson Intl,564009.278,Canada,49.90000153,-97.23329926
JMK,Mykonos,562700.712,Greece,37.43500137,25.34810066
VCP,Viracopos-Campinas Intl,560464.884,Brazil,-23.00670052,-47.13439941
CGP,Shah Amanat International Airport,556937.822,Bangladesh,22.2574997,91.82559967
JTR,Santorini,556305.204,Greece,36.39916611,25.4794445
SPN,Saipan International,553098.784,United States,15.12030029,145.7303009
REU,Reus,551387.249,Spain,41.15000153,1.169399977
KHN,Changbei International,550096.015,China,28.68330002,115.8833008
HRB,Taiping International,545420.708,China,45.62210083,126.2482987
IAS,Iasi,543687.508,Romania,47.18330002,27.60000038
TNR,Ivato International,542292.282,Madagascar,-18.79640007,47.48609924
KRR,Krasnodar,539462.833,Russian Federation,45.03329849,39.15000153
SKT,Sialkot International,520202.648,Pakistan,32.53329849,74.5
INN,Innsbruck airport,518811.755,Austria,47.26029968,11.34389973
AEP,Jorge Newbery,507051.993,Argentina,-34.55889893,-58.41579819
BSR,Basrah International,506887.339,Iraq,30.55559921,47.79140091
KUT,Kutaisi International Airport,506705.353,Georgia,42.25,42.70000076
ZNZ,Zanzibar International,505392.454,Tanzania,-6.219200134,39.22190094
KZN,Kazan International,499352.252,Russian Federation,55.78359985,49.21670151
ADA,Adana Sakirpasa Airport,497220.416,Turkey,36.98360062,35.28079987
NOC,Ireland West Knock Airport,494698.61,Ireland,53.91669846,-8.816699982
HFE,Xinqiao International,493671.689,China,31.99279976,116.9733963
COR,Pajas Blancas,493368.379,Argentina,-31.31310082,-64.19940186
GOA,Cristoforo Colombo,492419.452,Italy,44.4131012,8.837800026
OAK,Metro Oakland Intl,491019.893,United States,37.72359848,-122.2155991
UVF,Hewanorra Intl,488545.75,Saint Lucia,13.73560047,-60.95220184
YHZ,Halifax Intl,485919.952,Canada,44.88330078,-63.51670075
TGU,Toncontin Intl,483753.452,Honduras,14.05970001,-87.21749878
RMF,Marsa Alam International Airport,482280.232,Egypt,25.63330078,34.56940079
ZQN,Queenstown,482054.916,New Zealand,-45.02140045,168.7389069
BSB,J. Kubitschek Intl,479593.772,Brazil,-15.86060047,-47.91529846
OSS,Osh,479208.135,Kyrgyzstan,40.54999924,72.80000305
COO,Cadjehoun,476798.987,Benin,6.354199886,2.38560009
FIH,N'Djili International,472015.355,Democratic Republic of the Congo,-4.384699822,15.4449997
OUA,Ouagadougou,471096.759,Burkina Faso,12.35219955,-1.513299942
PPT,Faaa,469662.536,French Polynesia,-17.54719925,-149.6139069
MPM,Maputo International,469606.207,Mozambique,-25.92110062,32.56940079
CNS,Cairns International,469445.886,Australia,-16.88330078,145.7516937
LKO,Chaudhary Charan Singh,467626.026,India,26.76029968,80.88030243
MWX,Muan International Airport,465138.884,South Korea,34.99140167,126.3827972
NDR,Nador,459453.988,Morocco,35.20000076,-2.916699886
POM,Jackson Field,455315.973,Papua New Guinea,-9.444999695,147.2102966
KWE,Longdongbao International,454674.689,China,26.54059982,106.8003006
LBV,Leon M'ba International,453777.758,Gabon,0.459199995,9.415300369
SNU,Abel Santamaria,452378.199,Cuba,22.49189949,-79.94190216
POP,Gregorio Luperon Intl,451476.935,Dominican Republic,19.78109932,-70.66889954
ELQ,Gassim,450874.648,Saudi Arabia,26.30330086,43.77080154
LPQ,Luang Prabang International,442078.658,Laos,19.89579964,102.1639023
CKY,Conakry Intl,441667.023,Guinea,9.576399803,-13.61079979
NBE,Hammamet,440124.475,Tunisia,36.07559967,10.43830013
BOH,Bournemouth International Airport,436805.397,United Kingdom,50.7806015,-1.836899996
MMX,Sturup,435921.465,Sweden,55.53030014,13.37170029
YNJ,Chaoyangchuan,431883.109,China,42.65000153,129.5
TRD,Vaernes,431519.137,Norway,63.45970154,10.93690014
ZAD,Zadar,430006.92,Croatia,44.09780121,15.35669994
MPL,Mediterranee,428954.001,France,43.58060074,3.970299959
SUF,Lamezia Terme Airport,428603.028,Italy,38.90919876,16.23889923
RDU,Raleigh-Durham International,425097.631,United States,35.87530136,-78.7818985
UTP,Rayong-Pattaya Intl,423533.418,Thailand,12.67780018,101.0092011
LIL,Lesquin,419937.028,France,50.56439972,3.088099957
HRK,Osnova International,417406.556,Ukraine,49.93330002,36.28329849
BDS,Papola Casale,417007.92,Italy,40.65810013,17.94669914
SBZ,Sibiu,415357.047,Romania,45.78329849,24.08329964
CNN,Kannur International Airport,413316.204,India,11.9158001,75.54579926
PBM,Johan A. Pengel Intl,412232.954,Suriname,5.451399803,-55.19110107
MJI,"Mitiga, Tripoli Airport",411591.67,Libya,32.89410019,13.27600002
AUS,Austin-Bergstrom International Airport,408476.243,United States,30.19449997,-97.66989899
JHB,Senai Intl,401942.079,Malaysia,1.638900042,103.6707993
NIM,Diori Hamani International Airport,401881.417,Niger,13.48330021,2.170799971
PUY,Pula,401218.468,Croatia,44.89170075,13.9236002
IKT,Irkutsk,397353.432,Russian Federation,52.26670075,104.4000015
SOU,Southampton,391477.884,United Kingdom,50.9516983,-1.351899982
LBD,Khujand International,390251.645,Tajikistan,40.21670151,69.69999695
BDO,Husein Sastranegara,384770.4,Indonesia,-6.90170002,107.575798
CJJ,Cheongju International,381698.303,South Korea,36.65000153,127.5167007
HOG,Frank Pais International,381620.309,Cuba,20.7852993,-76.31500244
DAM,Damascus Intl,380394.07,Syria,33.41389847,36.51779938
FOR,Pinto Martins International,379887.109,Brazil,-3.77670002,-38.53440094
WEH,Dashuibo,378743.197,China,37.1867981,122.2291031
PQC,Phu Quoc Island International,376663.357,Vietnam,10.23330021,103.9666977
SCQ,Santiago de Compostela,375913.748,Spain,42.89500046,-8.414999962
CZL,Mohamed Boudiaf,373890.237,Algeria,36.27690125,6.630000114
SLL,Salalah,373240.287,Oman,17.03639984,54.10169983
WNZ,Yongqiang International,367910.697,China,27.95000076,120.6333008
GEO,Cheddi Jagan International,367828.37,Guyana,6.500299931,-58.25419998
IXE,Mangalore Airport,367299.744,India,12.96389961,74.89389801
CGQ,Longjia International,366043.174,China,43.91669846,125.3332977
NOU,La Tontouta,364145.32,New Caledonia,-22.01689911,166.2108002
PIK,Prestwick,362789.091,United Kingdom,55.50310135,-4.575600147
KCH,Kuching International,360106.964,Malaysia,1.484200001,110.3407974
FMO,Osnabruck International,358555.75,Germany,52.13610077,7.685599804
REC,Guararapes International,358447.425,Brazil,-8.125800133,-34.9239006
SSG,Santa Isabel International,356085.94,Equatorial Guinea,3.752799988,8.705599785
SWA,Jieyang Chaoshan,355817.294,China,23.36669922,116.6667023
JAI,Jaipur International,352567.544,India,26.82169914,75.80609894
QRO,Queretaro Intercontinental,351133.321,Mexico,20.60000038,-100.3833008
ROV,Platov Airport,349881.084,Russian Federation,47.25,39.81669998
YQB,Jean Lesage Intl,346891.314,Canada,46.78919983,-71.39810181
GND,Maurice Bishop International,346237.031,Grenada and South Grenadines,12.14389992,-61.61669922
DEB,Debrecen,345877.392,Hungary,47.49029923,21.61389923
EFL,Kefallinia Airport,344135.526,Greece,38.11809921,20.50559998
HMB,International Airport,342328.665,Egypt,26.34280014,31.74279976
KUF,Kurumoch Intl,342081.684,Russian Federation,53.50740051,50.15439987
BUS,Batumi,340673.459,Georgia,41.6108017,41.6006012
AAL,Aalborg,338519.958,Denmark,57.0931015,9.850000382
SAT,San Antonio Intl,333593.337,United States,29.5333004,-98.4693985
EXT,Exeter,330438.913,United Kingdom,50.73419952,-3.421700001
POA,Salgado Filho Intl,328584.389,Brazil,-29.99329948,-51.17079926
BJL,Banjul Intl,328541.059,Gambia,13.33720017,-16.65439987
JRO,Kilimanjaro International,327618.13,Tanzania,-3.42779994,37.07220078
TZL,Tuzla International Airport,326014.92,Bosnia and Herzegovina,44.45859909,18.72400093
BBU,Baneasa - Aurel Vlaicu,325065.993,Romania,44.5,26.10000038
KSC,Barca,323259.132,Slovakia,48.66669846,21.25
DRS,Dresden,321122.963,Germany,51.13330078,13.76669979
GOI,Dabolim,320568.339,India,15.3828001,73.82810211
MLH,EuroAirport French FR,319593.414,France,47.59000015,7.53000021
SYZ,Shahid Dastghaib International,319207.777,Iran,29.54030037,52.59080124
GBE,Sir Seretse Khama Intl,315715.379,Botswana,-24.6541996,25.94169998
ASM,Asmara International,315277.746,Eritrea,15.29109955,38.91030121
OUD,Les Angades,314870.444,Morocco,34.78329849,-1.933300018
PBH,Paro International,312656.281,Bhutan,27.43330002,89.41670227
XRY,Jerez Airport,308106.631,Spain,36.74530029,-6.05889988
TYN,Wusu International,307816.32,China,37.82889938,112.5550003
USM,Ko Samui,303149.679,Thailand,9.550000191,100.0667038
SFG,Grand-Case L'Esperance,301867.111,Saint Martin,18.10059929,-63.0489006
DUR,King Shaka Intl,301802.116,South Africa,-29.61440086,31.11639977
RZE,Jasionka,298981.333,Poland,50.11669922,22.01670075
GIB,North Front,298357.381,Gibraltar,36.15000153,-5.347199917
ISU,Sulaymaniyah Airport,296481.192,Iraq,35.56079865,45.31470108
MDZ,El Plumerillo,295215.956,Argentina,-32.83190155,-68.78469849
JIB,Ambouli International,294106.708,Djibouti,11.54669952,43.15779877
CCC,Jardines del Rey,293374.431,Cuba,22.51390076,-78.50830078
SXB,Entzheim,292746.146,France,48.53689957,7.627500057
LPB,El Alto International,291775.554,Bolivia,-16.50690079,-68.20140076
LEI,Almeria,288738.121,Spain,36.8443985,-2.372200012
LHW,Zhongchuan,281246.364,China,36.01670075,103.75
PAD,Paderborn,278646.564,Germany,51.61500168,8.621100426
AHB,Abha,276631.719,Saudi Arabia,18.23719978,42.65890122
KOJ,Kagoshima,275136.834,Japan,31.80190086,130.7203064
PSP,Palm Springs Muni,274764.196,United States,33.8266983,-116.5049973
AVV,Avalon,274434.888,Australia,-38.04079819,144.4680939
INI,Nis Constantine the Great Airport,273962.591,Serbia,43.33390045,21.85169983
CRA,Craioya,272719.02,Romania,44.31890106,23.88640022
SSA,Luis E. Magalhaes Intl,272506.703,Brazil,-12.91559982,-38.33610153
CVG,Northern Kentucky International,269720.584,United States,39.04610062,-84.66390228
MLM,F.J. Mujica Intl,269499.601,Mexico,19.85000038,-101.0299988
SDR,Santander Airport,267337.434,Spain,43.42919922,-3.826400042
LYP,Faisalabad International,266141.526,Pakistan,31.36919975,72.99810028
BCM,Bacau,264923.953,Romania,46.59859848,26.88190079
DCA,Ronald Reagan National,262306.821,United States,38.85169983,-77.03690338
NKC,Nouakchott,262038.175,Mauritania,18.09189987,-15.95189953
AER,Sochi International,261825.858,Russian Federation,43.45000076,39.93330002
APW,Faleolo International Airport,261773.862,Western Samoa,-13.83329964,-172
JUB,Juba,261630.873,South Sudan,4.870600224,31.60390091
LLW,Kamuzu Intl,258268.465,Malawi,-13.7894001,33.78070068
KJA,Krasnoyarsk Airport,258216.469,Russian Federation,56.04999924,92.90000153
BTJ,Sultan Iskandar Muda,257518.856,Indonesia,5.519999981,95.41940308
MBA,Mombasa,257228.545,Kenya,-4.031400204,39.5931015
TIF,Taif,256270.952,Saudi Arabia,21.48830032,40.54330063
KWL,Liangjiang International,255763.991,China,25.21590042,110.0472031
JOG,Adisutjipto,255508.344,Indonesia,-7.789700031,110.430603
CZM,Cozumel International,254836.729,Mexico,20.51670075,-86.9332962
MGQ,Mogadishu Intl,254269.106,Somalia,2.013299942,45.31330109
SDJ,Sendai,252410.249,Japan,38.13610077,140.9239044
RAI,Praia International,251504.652,Cape Verde,14.92529964,-23.50309944
MST,Maastricht,251166.678,Netherlands,50.91109848,5.773600102
KKJ,Kitakyushu,250668.383,Japan,33.83309937,130.9494019
PVK,Aktion,250109.426,Greece,38.92639923,20.76580048
OGG,Kahului,249862.445,United States,20.90060043,-156.4335938
BRQ,Turany,249034.842,Czech Republic,49.15140152,16.69440079
BMA,Bromma,248900.519,Sweden,59.35279846,17.94639969
YNB,Yanbo,248094.581,Saudi Arabia,24.14170075,38.06669998
MDC,Sam Ratulangi,246634.36,Indonesia,1.543900013,124.9235992
OST,Oostende/Brugge,246513.036,Belgium,51.1996994,2.863600016
SMF,Sacramento International,246040.739,United States,38.6955986,-121.5896988
FSZ,Mount Fuji,245360.458,Japan,34.66669846,138.1667023
AAR,Aarhus Airport,245273.798,Denmark,56.31029892,10.61810017
TKU,Turku,244385.533,Finland,60.51470184,22.2656002
SKD,Samarkand International,243943.567,Uzbekistan,39.70000076,67
PLQ,Palanga,242860.317,Lithuania,55.91669846,21.04999924
VLI,Bauerfield International,241729.404,Vanuatu,-17.69330025,168.3099976
STL,Lambert International,240867.137,United States,38.74720001,-90.36440277
CNF,Tancredo Never International,239822.884,Brazil,-19.63330078,-43.96670151
RSW,Southwest Florida International,239718.892,United States,26.53610039,-81.75499725
BON,Flamingo International Airport,239450.246,"Bonaire, Saint Eustatius & Saba",12.1342001,-68.27330017
NSI,Nsimalen Intl,238969.283,Cameroon,3.716700077,11.55000019
SKB,Robert L. Bradshaw Intl,236443.144,Saint Kitts and Nevis,17.30809975,-62.72140122
CEI,Mae Fah Luang Intl,235468.219,Thailand,19.88640022,99.83059692
LGK,Langkawi International,234116.323,Malaysia,6.366700172,99.83329773
EIS,Terrance B. Lettsome,234029.663,British Virgin Islands,18.44389916,-64.5428009
AOI,Falconara,233535.701,Italy,43.61750031,13.36419964
BNA,Nashville International,230077.967,United States,36.12670136,-86.68190002
VFA,Victoria Falls International,229726.994,Zimbabwe,-18.09309959,25.84029961
DRW,Darwin International,228375.098,Australia,-12.41670036,130.8721924
HIJ,Hiroshima Airport,227655.82,Japan,34.43569946,132.919693
DOK,Donetsk International Airport,227322.179,Ukraine,48.08330154,37.75
LNZ,Blue Danube,226442.58,Austria,48.23329926,14.1875
MRV,Mineral Nyye Vody,224388.738,Russian Federation,44.21670151,43.08330154
BZG,Ignacy Jan Paderewski,223214.495,Poland,53.09669876,17.97859955
GZT,Oguzeli,222282.9,Turkey,36.94810104,37.47829819
CZX,Benniu,221017.664,China,31.70000076,119.9666977
PSR,Liberi,220012.408,Italy,42.43389893,14.18439961
TRS,Ronchi Dei Legionari,218287.874,Italy,45.8266983,13.47220039
FNA,Lungi International,217806.911,Sierra Leone,8.617500305,-13.19690037
CAY,Felix Eboue,217503.601,French Guiana,4.820000172,-52.36330032
ROS,Islas Malvinas,216593.671,Argentina,-32.9056015,-60.7867012
SJW,Zhengding International,216394.353,China,38.04999924,114.4666977
PKU,Sultan Syarif Kasim II,216329.358,Indonesia,0.46419999,101.4385986
BVC,Rabil Airport,216134.373,Cape Verde,16.08329964,-22.83329964
IXM,Madurai,214717.482,India,9.832500458,78.08809662
UFA,Ufa,213096.94,Russian Federation,54.73329926,55.93330002
TZX,Trabzon,211948.695,Turkey,40.99860001,39.77640152
AHO,Fertilia,211779.708,Italy,40.63059998,8.288900375
LRM,Casa de Campo Intl,211082.095,Dominican Republic,18.4102993,-68.9417038
MZT,Rafael Buelna Intl,210228.494,Mexico,23.16250038,-106.2739029
BZV,Maya-Maya Airport,209613.208,Congo,-4.251900196,15.25469971
GZP,Gazipasa,208356.638,Turkey,36.29809952,32.29029846
PDG,Minangkabau,208018.664,Indonesia,-0.87559998,100.3499985
ATZ,Asyut,206549.777,Egypt,27.04999924,31.01670075
CCF,Salvaza,206372.124,France,43.21580124,2.306900024
NDJ,Ndjamena,205739.506,Chad,12.13469982,15.03499985
BAQ,Ernesto Cortissoz International,203074.711,Colombia,10.89610004,-74.77890015
RKT,Ras Al Khaimah Intl,199772.965,United Arab Emirates,25.61109924,55.93780136
OKJ,Okayama,199677.639,Japan,34.58670044,133.9360962
KRS,Kjevik,198299.745,Norway,58.2030983,8.084199905
NWI,Norwich International Airport,198247.749,United Kingdom,52.67580032,1.28579998
TAK,Takamatsu,197290.156,Japan,34.29029846,134.0731049
RAR,Rarotonga Island,195400.968,Cook Islands,-21.20030022,-159.8000031
HAH,Prince Said Ibrahim International,194387.046,Comoros,-11.53190041,43.26110077
YHM,John C. Munro Hamilton,190664.999,Canada,43.16690064,-79.93060303
LUZ,Lublin,190383.354,Poland,51.23860169,22.71330071
CMW,Ignacio Agramonte International,189863.394,Cuba,21.41860008,-77.84970093
SAH,Sana'a International,189772.401,Yemen,15.47859955,44.21920013
AGU,Aguascalientes International Airport,189148.449,Mexico,21.70280075,-102.3179016
RMI,Miramare,188793.143,Italy,44.02080154,12.61219978
SPC,La Palma,187727.225,Spain,28.62249947,-17.75359917
DIL,Pres. Nicolau Lobato,187575.57,East Timor,-8.553299904,125.5261002
EUN,Hassan I,186301.668,Western Sahara,27.13330078,-13.2166996
SZZ,Goleniow,186267.004,Poland,53.58330154,14.89999962
MSY,New Orleans Intl,186089.351,United States,29.99110031,-90.25140381
SCV,Salcea,185539.06,Romania,47.68939972,26.35610008
PDL,Nordela,184152.5,Portugal,37.74720001,-25.68190002
KIR,Kerry County,182622.951,Ireland,52.06669998,-9.5
KHV,Novyy,182120.323,Russian Federation,48.52669907,135.1867065
ONT,Ontario Intl,181444.375,United States,34.05720139,-117.6081009
IPH,Sultan Azlan Shah,180946.08,Malaysia,4.566899777,101.0958023
ANR,Antwerp International,180798.758,Belgium,51.18999863,4.460000038
SBH,Gustaf III,180794.425,Saint Barthelemy,17.90439987,-62.84500122
DZA,Pamandzi International,179442.529,Mayotte,-12.80690002,45.27999878
ASR,Erkilet,178354.946,Turkey,38.70420075,35.50970078
HTY,Hatay Airport,178246.621,Turkey,36.57500076,36.15969849
RTB,Juan Manuel Galvez,178094.966,Honduras,16.31469917,-86.52580261
ZAZ,Zaragoza Ab,176669.409,Spain,41.66669846,-1.038900018
BDL,Bradley Intl,176405.096,United States,41.9375,-72.68309784
JSI,Alex. Papadiamantis Airport,174528.907,Greece,39.17720032,23.50359917
HDY,Hat Yai International,174377.252,Thailand,6.929999828,100.3972015
KLX,Kalamata,171543.47,Greece,37.06829834,22.02560043
VNS,Lal Bahadur Shastri,170135.245,India,25.45190048,82.86309815
FLN,Hercilio Luz International,170048.585,Brazil,-27.66970062,-48.55059815
VIL,Dakhla,169134.322,Western Sahara,23.71330071,-15.93500042
ROB,Roberts Intl,166751.172,Liberia,6.239699841,-10.35890007
EGC,Bergerac-Roumaniere Airport,164645.334,France,44.83330154,0.516700029
HGA,Egal International,164220.7,Somalia,9.515800476,44.09170151
BIA,Poretta,163999.717,France,42.54919815,9.486100197
YYJ,Victoria Intl,162045.534,Canada,48.64860153,-123.4235992
BEN,Benina Intl,161937.209,Libya,32.09579849,20.27499962
KOA,Keahole,159666.717,United States,19.64690018,-156.012497
VLN,Arturo Michelena Intl,159385.072,Venezuela,10.1541996,-67.93190002
RNS,St Jacques,159285.413,France,48.0685997,-1.731400013
CJB,Coimbatore International,158904.109,India,11.02830029,77.04329681
SLP,Ponciano Arriaga Intl,158397.148,Mexico,22.17720032,-100.9882965
FAT,Fresno Yosemite International,156906.596,United States,36.77669907,-119.7172012
OHD,Ohrid,156442.965,Macedonia,41.18500137,20.74309921
OHS,Sohar,156048.662,Oman,24.38610077,56.62559891
PNK,Supadio,154896.084,Indonesia,-0.149399996,109.4028015
SCN,Ensheim,154527.779,Germany,49.21670151,7.119699955
NTG,Xingdong,154012.152,China,32.06669998,120.9666977
BIQ,Pays Basque,152855.241,France,43.46860123,-1.522500038
DYG,Hehua,152664.589,China,29.13330078,110.4832993
GRX,Granada,151780.657,Spain,37.18780136,-3.780600071
GNB,Grenoble-Isere,151382.021,France,45.3628006,5.329699993
MID,M. Crescencio Rejon,150823.064,Mexico,20.93330002,-89.65000153
SLU,Metropolitan Area,150541.419,Saint Lucia,14.01920033,-60.99280167
KGD,Kaliningrad,150402.763,Russian Federation,54.71670151,20.5
OSR,Mosnov,149336.845,Czech Republic,49.70000076,18.11669922
BLB,Panama Pacifico,149176.524,Panama,8.973099709,-79.55750275
YXE,J.G. Diefenbaker Intl,148634.899,Canada,52.16669846,-106.6832962
SCO,Aktau,147898.289,Kazakhstan,43.86000061,51.09889984
LIG,Bellegarde,147291.669,France,45.86190033,1.182199955
PIT,Pittsburgh Internation,147235.34,United States,40.49670029,-80.2358017
INC,Hedong,146763.043,China,38.36669922,106.3666992
KMQ,Komatsu,145805.45,Japan,36.39390183,136.4169006
UPG,Sultan Hasanuddin,144462.22,Indonesia,-5.063899994,119.553299
BJM,Bujumbura Intl,143495.961,Burundi,-3.331700087,29.32080078
CLE,Hopkins Intl,143144.988,United States,41.41080093,-81.84940338
LOP,Lombok International,143006.332,Indonesia,-8.757200241,116.2767029
LVI,Livingstone,142551.367,Zambia,-17.82060051,25.82220078
AES,Vigra,142408.378,Norway,62.5625,6.10529995
TBU,Fua'Amotu,142300.053,Tonga,-21.24440002,-175.1416931
SCU,Antonio Maceo Intl,142027.074,Cuba,19.96920013,-75.83580017
SNA,John Wayne Airport,141641.437,United States,33.67559815,-117.8672028
THF,Tempelhof,141619.772,Germany,52.47470093,13.40330029
IND,Indianapolis Intl,141602.44,United States,39.7256012,-86.2838974
BJA,Bejaia Airport,140844.165,Algeria,36.75,5.083300114
PLM,S M Badaruddin II,140116.221,Indonesia,-2.900000095,104.6994019
QSF,Setif,138053.713,Algeria,36.18330002,5.333300114
MCM,Fontvieille Heliport,137850.062,Monaco,43.73329926,7.416699886
IFN,Shahid Beheshti International Airport,137845.729,Iran,32.75279999,51.86199951
FDH,Friedrichshafen,137317.103,Germany,47.66719818,9.512499809
HSG,Saga Airport,136467.835,Japan,33.13330078,130.3000031
SZB,Sultan Abdul Aziz Shah,136333.512,Malaysia,3.129699945,101.5519028
AAE,Rabah Bitat,135934.876,Algeria,36.82220078,7.809400082
MHH,Marsh Harbour,134318.667,Bahamas,26.51110077,-77.08470154
PNQ,Lohegaon,134011.024,India,18.58139992,73.92060089
KVA,Megas Alexandros,133751.044,Greece,40.91329956,24.61919975
SVD,Argyle International,133382.739,Saint Vincent and Grenadines,13.14309979,-61.21530151
FNI,Garons,132667.794,France,43.75859833,4.416699886
CMH,John Glenn Columbus International Airport,132273.491,United States,39.99110031,-82.87830353
ZIH,Ixtapa/Zihuatanejo International,131822.859,Mexico,17.60969925,-101.4916992
VDA,Ovda,131229.238,Israel,29.93950081,34.93360138
SRG,Ahmad Yani,130925.928,Indonesia,-6.975800037,110.3799973
SFB,Sanford International,130514.293,United States,28.77499962,-81.24030304
OZH,Mokraya International,130293.31,Ukraine,47.86750031,35.31579971
HPH,Cat Bi International Airport,129920.672,Vietnam,20.81669998,106.5667038
LXR,Luxor International Airport,129487.372,Egypt,25.67309952,32.70750046
FBM,Luano,129188.395,Democratic Republic of the Congo,-11.59080029,27.5291996
MAO,Eduardo Gomes Intl,128768.094,Brazil,-3.039200068,-60.04999924
VTZ,Vishakhapatnam,128295.797,India,17.72109985,83.22470093
ROR,Palau International,126675.255,Palau,7.36439991,134.553894
PDP,Punta Del Este-Arpt,126592.928,Uruguay,-34.91439819,-54.9192009
TUU,Tabuk,125812.988,Saudi Arabia,28.37220001,36.62530136
YTY,Taizhou,125765.325,China,32.56169891,119.7202988
MAR,La Chinita International,125691.664,Venezuela,10.56110001,-71.7256012
BZR,Beziers Vias,125297.361,France,43.32419968,3.35439992
BEL,Val de Cans Intl,124664.743,Brazil,-1.378900051,-48.4756012
RJK,Rijeka Airport,123117.862,Croatia,45.21670151,14.56830025
LCJ,Lodz Lublinek Airport,122142.937,Poland,52,20
PEE,Perm,120821.372,Russian Federation,58,56.25
LDE,Pyrenees,120661.051,France,43.1794014,-0.0056
TNN,Tainan,119400.148,Taiwan,22.95190048,120.199997
NMA,Namangan,119374.15,Uzbekistan,40.98329926,71.59999847
KMJ,Kumamoto,118698.202,Japan,32.83190155,130.8524933
LSP,Josefa Camejo International,118069.917,Venezuela,11.77939987,-70.15249634
HIR,Honiara International,117506.627,Solomon Islands,-9.425299645,160.0455933
HET,Baita International,117372.304,China,40.85480118,111.8212967
